acc_id,geohash7,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
71070_2017,u2860rj,11.620695124000065,48.20373807600004,2017,1,21,4,1,8,1,1
84798_2017,u2860rj,11.620656887000052,48.20366255000005,2017,7,15,4,0,2,6,1
86904_2018,u2860rj,11.620178330000046,48.202717248000056,2018,7,18,4,0,2,6,1
71081_2017,u281wsk,11.541334580000068,48.10060166600005,2017,1,16,3,2,2,6,1
75791_2018,u281wsk,11.541296469000034,48.10077134000005,2018,2,9,4,1,0,1,1
87176_2018,u281wsk,11.541300041000055,48.100752554000046,2018,7,8,4,0,2,2,1
64230_2019,u281wsk,11.541297336000072,48.100766782000036,2019,6,21,5,0,5,2,1
77943_2019,u281wsk,11.541298153000074,48.10076248400002,2019,12,14,1,0,5,3,1
71140_2017,u284nhw,11.521970848000025,48.18982665200007,2017,1,19,2,1,4,2,1
96030_2017,u284nhw,11.521975223000029,48.18982559400007,2017,10,18,2,0,5,7,1
99024_2017,u284nhw,11.522290661000055,48.189749326000026,2017,12,14,1,2,1,6,1
99267_2017,u284nhw,11.522270044000035,48.18975431100006,2017,12,22,1,1,1,6,1
74867_2018,u284nhw,11.521950231000064,48.18983163700005,2018,1,8,4,0,5,2,1
53406_2019,u284nhw,11.52322986300004,48.18955159700005,2019,1,16,6,0,2,6,1
56224_2019,u284nhw,11.521939963000026,48.18983412300002,2019,3,11,5,0,5,2,1
59163_2019,u284nhw,11.521982716000025,48.189823785000044,2019,4,14,7,0,4,3,1
71141_2017,u281yx1,11.537429227000075,48.159806994000064,2017,1,17,2,2,0,7,1
92356_2017,u281yx1,11.537415019000035,48.15959760400006,2017,9,22,4,1,6,4,1
185820_2017,u281yx1,11.537805347000074,48.15970155600007,2017,11,12,7,1,0,7,1
82248_2018,u281yx1,11.537557988000062,48.15972185800007,2018,5,18,5,0,5,3,1
85127_2018,u281yx1,11.537556081000044,48.15969264300002,2018,6,17,5,0,5,3,1
93665_2018,u281yx1,11.537557988000062,48.15972185800007,2018,9,16,3,0,0,7,1
172282_2018,u281yx1,11.537276700000064,48.159715963000046,2018,2,8,6,0,5,3,1
71396_2019,u281yx1,11.537425322000045,48.15974778400005,2019,9,15,2,0,2,6,1
71290_2017,u281g96,11.407619572000046,48.12776436700005,2017,1,20,1,1,9,1,1
83007_2018,u281g96,11.407262093000044,48.12799957200007,2018,5,5,2,0,8,1,1
