acc_id,geohash,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
8214_2017,u1qczp,9.809079205000046,52.37959618100007,2017,1,21,1,1,5,3,1
12231_2017,u1qczp,9.810745135000046,52.38263380700005,2017,3,20,2,1,2,2,1
19371_2017,u1qczp,9.809040825000068,52.379438189000034,2017,8,17,2,0,5,3,1
21567_2017,u1qczp,9.810745135000046,52.38263380700005,2017,9,1,1,0,8,1,1
25786_2017,u1qczp,9.809064359000047,52.37953247100006,2017,12,9,2,1,0,7,1
129332_2017,u1qczp,9.807540891000034,52.379670574000045,2017,4,11,2,0,5,3,1
131632_2017,u1qczp,9.807526168000038,52.37912319600008,2017,7,20,7,0,0,7,1
131697_2017,u1qczp,9.80418233000006,52.37895606300003,2017,7,16,4,1,5,3,1
135435_2017,u1qczp,9.808671246000074,52.37956461600004,2017,11,10,2,0,0,3,1
16376_2018,u1qczp,9.809306982000068,52.37955021400006,2018,6,12,7,0,6,6,1
17441_2018,u1qczp,9.80929222900005,52.37948963400004,2018,7,16,2,0,5,3,1
17570_2018,u1qczp,9.809013957000047,52.37929640700003,2018,6,12,4,0,0,7,1
25617_2018,u1qczp,9.809041907000053,52.37942731100002,2018,12,13,2,1,5,2,1
129472_2018,u1qczp,9.810493101000077,52.382738020000026,2018,1,14,6,0,2,6,1
131439_2018,u1qczp,9.807598030000065,52.379633652000045,2018,4,18,7,0,5,2,1
131582_2018,u1qczp,9.809064359000047,52.37953247100006,2018,4,12,3,0,5,2,1
132975_2018,u1qczp,9.804489230000057,52.378503759000075,2018,6,7,3,0,3,2,1
134358_2018,u1qczp,9.807547458000043,52.37966633000008,2018,7,13,4,0,5,3,1
134587_2018,u1qczp,9.804805825000074,52.37803715600006,2018,8,18,5,0,4,2,1
134729_2018,u1qczp,9.807464629000037,52.378821837000025,2018,8,4,5,1,8,1,1
134992_2018,u1qczp,9.802131310000052,52.38025806100006,2018,8,16,7,0,6,4,1
135410_2018,u1qczp,9.804602032000046,52.377933564000045,2018,8,15,3,0,2,6,1
135694_2018,u1qczp,9.808225199000047,52.37959807600004,2018,9,16,2,0,0,1,1
137266_2018,u1qczp,9.807623937000074,52.37956572100006,2018,10,10,6,1,0,1,1
138904_2018,u1qczp,9.804760703000056,52.37810365900003,2018,12,17,7,0,5,3,1
86263_2019,u1qczp,9.809092006000071,52.37964563600008,2019,10,12,2,0,2,6,1
224941_2019,u1qczp,9.807748936000053,52.38040760800004,2019,8,11,4,0,6,4,1
225456_2019,u1qczp,9.804800646000047,52.37804478800007,2019,8,8,5,1,5,3,1
226581_2019,u1qczp,9.802562222000065,52.37739059000007,2019,9,10,2,1,5,3,1
229115_2019,u1qczp,9.80325275000007,52.37871784100008,2019,1,9,6,1,0,7,1
229456_2019,u1qczp,9.808722753000039,52.379560752000025,2019,1,11,6,0,6,4,1
231012_2019,u1qczp,9.810092000000054,52.37947748800008,2019,3,5,7,0,3,6,1
231492_2019,u1qczp,9.807722281000055,52.37961750300008,2019,4,16,4,0,4,7,1
8217_2017,u1r40g,9.880214309000053,52.39930607400004,2017,1,17,1,0,2,6,1
12607_2017,u1r40g,9.878577891000077,52.39980647300007,2017,3,5,7,0,9,1,1
20859_2018,u1r40g,9.880044329000043,52.39933752300004,2018,9,9,3,0,2,6,1
87939_2019,u1r40g,9.878028504000042,52.39993000800007,2019,11,8,3,0,2,6,1
8992_2017,u1qfnx,9.781459315000065,52.42503425800004,2017,1,17,4,1,6,2,1
11659_2017,u1qfnx,9.781724913000062,52.42485697700005,2017,3,5,5,1,5,2,1
15613_2017,u1qfnx,9.781606436000061,52.42486677400007,2017,5,6,6,0,2,6,1
16201_2017,u1qfnx,9.781359356000053,52.425072429000075,2017,6,19,5,0,3,6,1
16620_2017,u1qfnx,9.782034425000065,52.42474321100008,2017,6,7,7,0,2,6,1
9563_2018,u1qfnx,9.781688735000046,52.42494665100002,2018,1,12,6,0,6,2,1
11771_2018,u1qfnx,9.782803225000066,52.42438732400007,2018,3,19,4,0,5,3,1
16343_2018,u1qfnx,9.781413859000054,52.42505161600008,2018,6,17,4,0,1,7,1
19983_2018,u1qfnx,9.782813828000029,52.42438200200007,2018,8,16,5,0,5,3,1
130581_2018,u1qfnx,9.781536529000052,52.42458398400004,2018,3,15,1,0,4,2,1
80056_2019,u1qfnx,9.782125481000037,52.42470250300005,2019,6,17,3,0,5,3,1
