cluster_id,geohash
0,3
2,1
3,2
5,5
9,1
10,1
11,22
19,5
23,2
24,8
28,3
31,1
32,1
33,1
34,3
35,9
36,10
42,10
47,2
50,1
54,3
57,173
59,3
61,4
63,9
75,2
81,1
82,1
83,1
84,2
85,4
87,16
92,2
93,1
94,4
97,1
98,3
100,2
103,5
104,1
105,18
106,1
115,6
121,2
122,12
130,6
134,14
138,9
140,1
141,2
142,21
145,2
147,1
151,3
153,6
155,12
158,2
160,3
161,5
164,1
165,2545
170,2
172,5
173,2
176,5
178,6
182,2
184,10
190,1
191,1
192,1
193,10
198,8
202,3
203,2
204,21
234,1
269,19
279,55
283,2
289,1
308,2
309,4
311,1
342,1
357,4
360,1
394,4
395,3
396,1
398,23
402,12
405,2
486,16
741,3
743,2
745,11
746,2
747,3
755,77
756,97
757,3
786,1
787,1
792,19
795,2
805,11
807,4
811,1
812,1
813,6
816,1
817,7
821,3
823,13
830,5
832,1
833,1
835,2
837,5
838,22
842,6
851,4
853,1
856,2
857,1
858,2
859,3
860,1
861,1
862,1
863,1
865,3
868,39
869,1
870,8
874,2
895,1
900,6
903,4
905,10
910,2
929,2
936,1
937,1
938,2
940,1
941,1
942,1
943,1
944,3
946,1
947,1
948,1
949,2
950,9
954,1
955,1
956,17
958,16
961,13
1001,1
1002,4
1005,7
1008,86
1028,2
1031,2
1033,10
1036,12
1046,3
1059,5
1062,1
1066,7
1080,1
1081,1
1082,4
1084,8
1088,1
1089,13
1093,1
1094,5
1099,1
1100,1
1101,1
1102,3
1103,1
1104,3
1105,6
1106,5
1108,2
1126,1
1127,1
1128,26
1131,1
1132,1
1134,2
1143,1
1144,1
1145,2
1146,1
1147,1
1148,1
1150,5
1151,13
1158,6
1163,2
1167,7
1171,19
1174,29
1182,2
1189,1
1190,1
1191,1
1192,1
1193,1
1194,2
1195,11
1202,2
1203,4
1205,8
1212,1
1213,3
1215,13
1224,38
1229,1
1234,187
1237,17
1240,1
1241,7
1244,1
1246,1
1273,38
1302,1
1310,9
1312,1
1315,14
1320,1
1332,1
1333,1
1335,6
1340,18
1341,1
1342,3
1344,27
1351,1
1363,1
1364,1
1367,1
1372,3
1373,45
1383,12
1389,3
1398,1
1402,15
1403,6
1405,3
1408,3
1411,1
1412,2
1414,4
1417,1
1421,4
1423,6
1424,1
1425,1
1426,1
1427,3
1429,1
1430,1
1432,1
1435,1
1436,4
1438,5
1442,1
1454,27
1479,14
1493,9
1498,1
1499,11
1522,3
1604,1
1711,1
1728,2
1731,1
1732,4
1735,3
1737,7
1740,3
1745,2
1746,2
1747,7
1751,2
1752,1
1780,10
1781,1
1783,1
1786,1
1794,1
1796,4
1799,1
1800,2
1801,1
1802,2
1803,1
1804,1
1805,3
1806,4
1808,2
1810,2
1811,8
1822,4
1849,112
1866,1
1867,15
1872,2
1874,8
1878,1
1896,7
1898,4
1911,2
1912,23
1919,111
1920,10
1922,2
1927,3
1928,2
1930,3
1932,1
1933,2
1934,5
1938,8
1941,6
1943,1
1944,6
1948,1
1949,1
1952,18
1956,2
1974,1
1988,12
1992,4
2003,1
2011,7
2014,5
2017,1
2018,4
2020,2
2022,2
2026,1
2027,16
2035,23
2043,1
2044,6
2052,3
2054,3
2055,8
2060,4
2061,1
2062,6
2063,9
2067,21
2071,1
2072,1
2077,1
2078,3
2079,2
2081,5
2082,7
2087,3
2088,1
2090,4
2091,2
2103,3
2109,5
2111,10
2113,5
2116,1
2118,1
2119,8
2124,1
2125,3
2126,1
2127,2
2130,3
2131,3
2133,4
2135,2
2137,4
2138,38
2139,1
2143,41
2147,1
2149,12
2173,1
2174,1
2175,10
2181,3
2184,1
2185,4
2187,2
2188,1
2189,1
2190,1
2191,17
2198,2
2200,4
2205,1
2206,12
2212,1
2213,2
2214,3
2215,1
2216,1
2217,3
2218,1
2219,3
2221,1
2222,1
2223,2
2224,6
2226,1
2227,2
2228,2
2229,3
2231,3
2233,1
2234,1
2235,2
2237,6
2239,6
2243,3
2244,23
2251,1
2257,51
2264,1
2265,1
2266,5
2269,12
2272,2
2293,1
2294,2
2299,2
2301,1
2302,6
2307,4
2309,3
2311,1
2326,8
2332,1
2333,2
2335,1
2336,4
2340,1
2341,3
