acc_id,acc_lat,acc_long,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,geohash,sessiondivided,geohash7,cluster_id
9867_2017,52.40406163758561,9.646149923342012,2017,1,11,4,0,6,4,u1qf5e,10-12,u1qf5eb,1224
15364_2017,52.40388759967613,9.646154054165828,2017,5,8,3,1,5,2,u1qf5e,8-10,u1qf5eb,1224
15437_2017,52.40191661428858,9.646246347794063,2017,5,17,2,0,5,3,u1qf5e,16-18,u1qf5e2,1224
16196_2017,52.399327334867884,9.64648318960182,2017,6,15,5,0,5,3,u1qf5e,14-16,u1qf5e0,1224
18217_2017,52.40357296288621,9.646172051623148,2017,8,18,3,0,5,3,u1qf5e,18-20,u1qf5eb,1224
19017_2017,52.40285061772708,9.646206274398512,2017,8,19,3,1,2,6,u1qf5e,18-20,u1qf5e8,1224
19023_2017,52.40017253873608,9.646330496834064,2017,8,19,3,1,2,6,u1qf5e,18-20,u1qf5e0,1224
19643_2017,52.40383587652721,9.64615701302109,2017,8,16,6,0,5,2,u1qf5e,16-18,u1qf5eb,1224
20604_2017,52.401048275458116,9.646411063865942,2017,9,18,7,1,0,1,u1qf5e,18-20,u1qf5e2,1224
21277_2017,52.40017440411485,9.646330359471703,2017,9,7,5,0,3,2,u1qf5e,6-8,u1qf5e0,1224
22690_2017,52.399292443240384,9.646487870949153,2017,10,6,5,1,5,2,u1qf5e,6-8,u1qf5e0,1224
9481_2017,52.3439054989836,9.76337673350927,2017,1,16,5,0,5,3,u1qcy0,16-18,u1qcy0v,755
9631_2017,52.341014321399186,9.756881035709366,2017,1,11,2,0,3,6,u1qcy0,10-12,u1qcy02,398
10128_2017,52.34266374125615,9.764894029267166,2017,1,11,6,0,2,2,u1qcy0,10-12,u1qcy0w,755
11098_2017,52.341581559201906,9.76549179258774,2017,2,7,2,1,5,2,u1qcy0,6-8,u1qcy0r,755
