geohash7,nonacc_lat,nonacc_long,UJAHR,UMONAT,UWOCHENTAG,hour,geohash,cluster_id
u1qcuyd,52.37518280214056,9.704767385684267,2017,9,3,18,u1qcuy,165.0
u1qcu96,52.3457829757485,9.693942180154798,2017,7,1,10,u1qcu9,130.0
u1r4095,52.38861978477139,9.870284827476066,2018,11,5,21,u1r409,-1.0
u1qfpx5,52.42244297526525,9.827234701821274,2017,1,3,23,u1qfpx,2143.0
u1qfr4y,52.44196228534586,9.808171735972453,2018,1,6,16,u1qfr4,-1.0
u1qfn37,52.38968886087923,9.771591161069654,2017,8,3,1,u1qfn3,-1.0
u1qcu1f,52.348929839668884,9.671275614330801,2017,1,5,20,u1qcu1,87.0
u1qf556,52.40100322901226,9.627443999799233,2019,1,5,4,u1qf55,-1.0
u1qfp9d,52.39171923276015,9.825786251933282,2017,10,6,18,u1qfp9,2071.0
u1qcxkf,52.32178943357256,9.814015617774707,2019,1,5,15,u1qcxk,832.0
u1qcvuw,52.36439313762253,9.753710606796483,2018,5,7,21,u1qcvu,165.0
u1qcu3x,52.34844907954607,9.689891740170344,2018,10,4,0,u1qcu3,103.0
u1qcys1,52.36181156351829,9.780016952309989,2018,3,7,21,u1qcys,1046.0
u1qcgyw,52.37477663000155,9.665836101961046,2018,4,6,10,u1qcgy,11.0
u1qcyzt,52.381335884093936,9.796280585331694,2018,3,2,23,u1qcyz,1874.0
u1r1c5v,52.360680142302606,9.895085484466408,2018,4,6,13,u1r1c5,-1.0
u1qcu69,52.35318405556971,9.681351892012689,2018,11,1,16,u1qcu6,121.0
u1qfnjk,52.41280278683463,9.762696528153446,2017,2,3,21,u1qfnj,1920.0
u1r40qg,52.42082993804243,9.859743236586118,2018,6,1,14,u1r40q,2335.0
u1qfpv1,52.410396360108365,9.834951853954983,2017,3,7,0,u1qfpv,2135.0
u1r18hd,52.32099985135029,9.847005684915144,2017,3,3,9,u1r18h,2212.0
u1qczsr,52.362755540058295,9.832699029628412,2018,1,7,15,u1qczs,1190.0
u1r40jt,52.41430140946299,9.850754845780576,2018,2,3,16,u1r40j,2138.0
u1qcyuh,52.36133864744466,9.794912026499468,2019,4,5,22,u1qcyu,-1.0
u1r18hn,52.317917793964526,9.852982443723487,2019,5,6,3,u1r18h,-1.0
u1qczzs,52.380324579051255,9.839393966813518,2018,6,4,22,u1qczz,-1.0
u1qcytf,52.37084644200874,9.78141355025603,2018,10,4,3,u1qcyt,1008.0
u1r18ku,52.32115393131966,9.860258214223519,2017,1,6,4,u1r18k,-1.0
u1r1854,52.312713713959944,9.847385566369583,2018,12,4,15,u1r185,-1.0
u1qcyqy,52.37719026615078,9.776197483865348,2017,10,5,15,u1qcyq,1066.0
u1qctnf,52.33205320950807,9.71578456567566,2019,4,3,5,u1qctn,63.0
u1r400p,52.38322169272818,9.853902327601237,2017,9,1,21,u1r400,-1.0
u1qf5rq,52.42306026606413,9.64461955412166,2017,4,7,23,u1qf5r,1273.0
u1qfjfm,52.39652467045861,9.753046736958236,2017,11,7,10,u1qfjf,165.0
u1r40s9,52.40823809079135,9.868375218821221,2019,5,7,20,u1r40s,-1.0
u1qf722,52.42900685593639,9.635983484826829,2017,8,1,15,u1qf72,-1.0
u1qcxxn,52.33415168457244,9.83072269006653,2017,4,1,14,u1qcxx,865.0
u1qfhcz,52.3934005437886,9.710635349074316,2017,1,5,14,u1qfhc,1389.0
u1qfpfe,52.39734506790457,9.837521578158348,2018,9,7,19,u1qfpf,2090.0
u1r1bc5,52.34461222266482,9.881121816734693,2018,11,4,11,u1r1bc,-1.0
u1r1buy,52.36524811863504,9.885706424147882,2018,9,7,2,u1r1bu,2266.0
u1qcvd7,52.352278427152136,9.73887257078991,2017,4,1,18,u1qcvd,405.0
u1qfr6e,52.44162507786722,9.816016138717595,2019,5,5,7,u1qfr6,-1.0
u1r1bt5,52.3671587724636,9.871211160326892,2018,8,6,3,u1r1bt,-1.0
u1qczmj,52.36683909558076,9.817831493014094,2018,10,1,1,u1qczm,1163.0
u1qcvrd,52.380541983212474,9.726401689758099,2018,9,4,21,u1qcvr,165.0
u1qcyvn,52.36655647270786,9.797321872295026,2018,7,5,9,u1qcyv,-1.0
u1qfj45,52.39495947985207,9.716130149606766,2017,8,6,2,u1qfj4,165.0
u1qcszt,52.337380284589536,9.708828255159423,2017,10,5,17,u1qcsz,57.0
u1qfjj3,52.41281097267961,9.713838781070477,2019,1,2,2,u1qfjj,1732.0
u1qcz8y,52.343611891043395,9.831042156151033,2018,3,6,1,u1qcz8,868.0
u1qfhts,52.4141231598035,9.69598761178457,2019,1,1,3,u1qfht,1454.0
u1qcxuc,52.321610663487455,9.835413758458444,2018,12,7,3,u1qcxu,-1.0
u1qfpgw,52.40232752939615,9.842193467073086,2017,11,5,23,u1qfpg,-1.0
u1r1be0,52.3560009703523,9.866847848590137,2018,5,7,5,u1r1be,2231.0
u1qczsy,52.366055311867584,9.83010756335026,2018,5,1,1,u1qczs,1128.0
u1qfnp1,52.42235287888833,9.757574223137363,2018,4,6,8,u1qfnp,1934.0
u1qfj4r,52.395817230676954,9.722586538078913,2017,2,4,17,u1qfj4,165.0
u1qfh41,52.394024105517204,9.66948218995454,2018,7,4,8,u1qfh4,1340.0
u1qf790,52.43253020281101,9.647077535069544,2017,11,4,18,u1qf79,-1.0
u1qcvg8,52.35944195286536,9.74599403394862,2018,8,3,5,u1qcvg,165.0
u1qfhn5,52.41611431264042,9.67303175657277,2017,9,6,17,u1qfhn,1432.0
u1qcyff,52.35519261974309,9.792725267391274,2017,8,2,19,u1qcyf,956.0
u1qfp1p,52.38934400042567,9.810448801116538,2017,4,4,12,u1qfp1,2018.0
u1r1b9u,52.34962387107,9.871229830970517,2017,11,7,12,u1r1b9,-1.0
u1qfhhh,52.40525678788102,9.673673427659539,2018,1,7,20,u1qfhh,1237.0
u1qcy5k,52.35683634831025,9.761502221982957,2018,4,7,23,u1qcy5,165.0
