acc_id,geohash,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
8214_2017,u1qczp,9.809079205000046,52.37959618100007,2017,1,21,1,1,5,3,1
12231_2017,u1qczp,9.810745135000046,52.38263380700005,2017,3,20,2,1,2,2,1
19371_2017,u1qczp,9.809040825000068,52.379438189000034,2017,8,17,2,0,5,3,1
21567_2017,u1qczp,9.810745135000046,52.38263380700005,2017,9,1,1,0,8,1,1
25786_2017,u1qczp,9.809064359000047,52.37953247100006,2017,12,9,2,1,0,7,1
129332_2017,u1qczp,9.807540891000034,52.379670574000045,2017,4,11,2,0,5,3,1
131632_2017,u1qczp,9.807526168000038,52.37912319600008,2017,7,20,7,0,0,7,1
131697_2017,u1qczp,9.80418233000006,52.37895606300003,2017,7,16,4,1,5,3,1
135435_2017,u1qczp,9.808671246000074,52.37956461600004,2017,11,10,2,0,0,3,1
8217_2017,u1r40g,9.880214309000053,52.39930607400004,2017,1,17,1,0,2,6,1
12607_2017,u1r40g,9.878577891000077,52.39980647300007,2017,3,5,7,0,9,1,1
8992_2017,u1qfnx,9.781459315000065,52.42503425800004,2017,1,17,4,1,6,2,1
11659_2017,u1qfnx,9.781724913000062,52.42485697700005,2017,3,5,5,1,5,2,1
15613_2017,u1qfnx,9.781606436000061,52.42486677400007,2017,5,6,6,0,2,6,1
16201_2017,u1qfnx,9.781359356000053,52.42507242900008,2017,6,19,5,0,3,6,1
16620_2017,u1qfnx,9.782034425000065,52.42474321100008,2017,6,7,7,0,2,6,1
9169_2017,u1qf5p,9.624535698000042,52.42501966000002,2017,1,18,3,1,3,6,1
15766_2017,u1qf5p,9.633384392000039,52.42193812500005,2017,6,14,3,0,2,6,1
16854_2017,u1qf5p,9.629557979000024,52.42168373900007,2017,7,10,7,1,9,1,1
17332_2017,u1qf5p,9.629322310000019,52.42184382600004,2017,7,6,2,1,8,1,1
18166_2017,u1qf5p,9.633737426000039,52.421946237000036,2017,7,14,3,1,2,6,1
20459_2017,u1qf5p,9.628577729000027,52.42214930900008,2017,9,9,3,0,2,6,1
26682_2017,u1qf5p,9.628916092000054,52.422119749000046,2017,12,15,7,1,8,1,1
9302_2017,u1qcyj,9.764961613000024,52.37069190100004,2017,1,10,2,1,2,6,1
9484_2017,u1qcyj,9.756781300000057,52.37018809600005,2017,1,8,5,1,5,3,1
9959_2017,u1qcyj,9.75692263600007,52.37019658600008,2017,1,17,6,1,2,6,1
11149_2017,u1qcyj,9.756311685000073,52.37016100100004,2017,2,12,5,0,2,6,1
12943_2017,u1qcyj,9.758829366000043,52.37031578500007,2017,3,16,3,0,0,3,1
13691_2017,u1qcyj,9.761931928000024,52.37051521700005,2017,4,10,3,0,5,2,1
14911_2017,u1qcyj,9.756404660000042,52.370166162000025,2017,5,10,2,0,5,2,1
21170_2017,u1qcyj,9.756020617000047,52.370144840000066,2017,9,6,5,0,2,7,1
21380_2017,u1qcyj,9.762434381000046,52.370412591000054,2017,9,7,3,1,5,2,1
23372_2017,u1qcyj,9.759735425000033,52.370358939000035,2017,10,21,6,0,2,2,1
23685_2017,u1qcyj,9.756952381000076,52.37019860900006,2017,10,15,4,0,0,7,1
25395_2017,u1qcyj,9.761901226000077,52.370419874000035,2017,12,6,3,1,2,2,1
26701_2017,u1qcyj,9.763214165000024,52.370591092000026,2017,12,16,7,1,3,6,1
128346_2017,u1qcyj,9.76192017400007,52.371159447000075,2017,3,9,2,0,5,3,1
131143_2017,u1qcyj,9.760713730000075,52.36933137600006,2017,6,7,5,0,5,2,1
132318_2017,u1qcyj,9.762055343000043,52.37085900600005,2017,8,20,3,0,5,3,1
132985_2017,u1qcyj,9.763778066000043,52.36874378800008,2017,8,0,7,0,5,3,1
133781_2017,u1qcyj,9.761771551000038,52.36648209300006,2017,9,7,4,0,5,3,1
9481_2017,u1qcy0,9.763376734000076,52.34390549800002,2017,1,16,5,0,5,3,1
9631_2017,u1qcy0,9.756881036000037,52.34101432000006,2017,1,11,2,0,3,6,1
10128_2017,u1qcy0,9.764894029000061,52.34266374000004,2017,1,11,6,0,2,2,1
11098_2017,u1qcy0,9.765491793000024,52.34158155800003,2017,2,7,2,1,5,2,1
12013_2017,u1qcy0,9.763626888000033,52.343962694000034,2017,3,20,5,0,5,3,1
12751_2017,u1qcy0,9.764832687000023,52.34273779400007,2017,3,16,5,0,4,2,1
13028_2017,u1qcy0,9.766205011000068,52.340739899000035,2017,4,16,2,0,0,3,1
