geohash,non_acclat,non_acclong,UJAHR,UMONAT,UWOCHENTAG,hour
u1qcuyd,52.375182802140564,9.704767385684269,2017,9,3,18
u1qcu96,52.345782975748506,9.693942180154796,2017,7,1,10
u1r4095,52.3886197847714,9.870284827476066,2018,11,5,21
u1qfpx5,52.42244297526525,9.827234701821272,2017,1,3,23
u1qfr4y,52.441962285345866,9.808171735972454,2018,1,6,16
u1qfn37,52.38968886087923,9.771591161069654,2017,8,3,1
u1qcu1f,52.34892983966888,9.6712756143308,2017,1,5,20
u1qf556,52.401003229012254,9.627443999799233,2019,1,5,4
u1qfp9d,52.39171923276016,9.825786251933284,2017,10,6,18
u1qcxkf,52.32178943357256,9.814015617774706,2019,1,5,15
u1qcvuw,52.36439313762253,9.753710606796485,2018,5,7,21
u1qcu3x,52.34844907954607,9.689891740170344,2018,10,4,0
u1qcys1,52.36181156351829,9.780016952309989,2018,3,7,21
u1qcgyw,52.37477663000155,9.665836101961046,2018,4,6,10
u1qcyzt,52.381335884093936,9.796280585331694,2018,3,2,23
u1r1c5v,52.36068014230261,9.895085484466408,2018,4,6,13
u1qcu69,52.35318405556971,9.68135189201269,2018,11,1,16
u1qfnjk,52.41280278683463,9.762696528153448,2017,2,3,21
u1r40qg,52.42082993804243,9.859743236586118,2018,6,1,14
u1qfpv1,52.41039636010837,9.834951853954983,2017,3,7,0
u1r18hd,52.320999851350294,9.847005684915143,2017,3,3,9
u1qczsr,52.3627555400583,9.832699029628413,2018,1,7,15
u1r40jt,52.414301409463,9.850754845780576,2018,2,3,16
u1qcyuh,52.361338647444654,9.794912026499466,2019,4,5,22
u1r18hn,52.317917793964526,9.852982443723489,2019,5,6,3
u1qczzs,52.38032457905126,9.839393966813518,2018,6,4,22
u1qcytf,52.370846442008734,9.78141355025603,2018,10,4,3
u1r18ku,52.32115393131966,9.86025821422352,2017,1,6,4
u1r1854,52.31271371395994,9.847385566369582,2018,12,4,15
u1qcyqy,52.377190266150784,9.776197483865348,2017,10,5,15
u1qctnf,52.33205320950806,9.715784565675659,2019,4,3,5
u1r400p,52.38322169272818,9.853902327601235,2017,9,1,21
u1qf5rq,52.42306026606413,9.644619554121661,2017,4,7,23
u1qfjfm,52.39652467045862,9.753046736958236,2017,11,7,10
u1r40s9,52.40823809079135,9.868375218821221,2019,5,7,20
u1qf722,52.4290068559364,9.635983484826829,2017,8,1,15
u1qcxxn,52.33415168457244,9.83072269006653,2017,4,1,14
u1qfhcz,52.3934005437886,9.710635349074316,2017,1,5,14
u1qfpfe,52.39734506790457,9.837521578158348,2018,9,7,19
u1r1bc5,52.34461222266482,9.881121816734694,2018,11,4,11
u1r1buy,52.36524811863504,9.885706424147884,2018,9,7,2
u1qcvd7,52.35227842715214,9.73887257078991,2017,4,1,18
u1qfr6e,52.44162507786722,9.816016138717597,2019,5,5,7
u1r1bt5,52.3671587724636,9.871211160326892,2018,8,6,3
u1qczmj,52.36683909558076,9.817831493014094,2018,10,1,1
u1qcvrd,52.38054198321247,9.7264016897581,2018,9,4,21
u1qcyvn,52.366556472707856,9.797321872295026,2018,7,5,9
u1qfj45,52.394959479852055,9.716130149606766,2017,8,6,2
u1qcszt,52.33738028458954,9.708828255159425,2017,10,5,17
u1qfjj3,52.41281097267961,9.713838781070475,2019,1,2,2
u1qcz8y,52.343611891043395,9.831042156151033,2018,3,6,1
u1qfhts,52.41412315980351,9.69598761178457,2019,1,1,3
u1qcxuc,52.32161066348745,9.835413758458442,2018,12,7,3
u1qfpgw,52.40232752939616,9.842193467073086,2017,11,5,23
u1r1be0,52.3560009703523,9.866847848590135,2018,5,7,5
u1qczsy,52.366055311867584,9.83010756335026,2018,5,1,1
u1qfnp1,52.42235287888833,9.757574223137363,2018,4,6,8
u1qfj4r,52.395817230676954,9.722586538078911,2017,2,4,17
u1qfh41,52.39402410551721,9.669482189954541,2018,7,4,8
u1qf790,52.43253020281101,9.647077535069545,2017,11,4,18
u1qcvg8,52.35944195286536,9.74599403394862,2018,8,3,5
u1qfhn5,52.41611431264042,9.67303175657277,2017,9,6,17
u1qcyff,52.355192619743086,9.792725267391276,2017,8,2,19
u1qfp1p,52.38934400042567,9.810448801116538,2017,4,4,12
u1r1b9u,52.34962387107001,9.871229830970517,2017,11,7,12
u1qfhhh,52.405256787881015,9.67367342765954,2018,1,7,20
u1qcy5k,52.356836348310246,9.761502221982957,2018,4,7,23
u1qfqet,52.4464023841898,9.785035325095492,2018,5,5,20
u1r1b7d,52.359261851063785,9.857704597634697,2018,6,1,10
u1qfqkp,52.44919943436768,9.777637271466466,2019,5,1,4
u1qfq60,52.43801825984464,9.766907138657006,2017,6,6,2
u1qfhyc,52.41997979014546,9.703559080686274,2017,10,3,0
u1qcsmx,52.32546203901254,9.68885578621068,2018,4,6,8
